Entertainer,Year of Last Major Work (arguable),Year of Death
Adele,2016,
Angelina Jolie,2016,
Aretha Franklin,2014,
Bette Davis,1989,1989
Betty White,2016,
Bing Crosby,1974,1977
Bob Hope,1972,2003
Carol Burnett,2016,
Carole Lombard,1942,1942
Carrie Fisher,2016,2016
Cary Grant,1966,1986
Charlie Chaplin,1967,1977
Clara Bow,1933,1965
Clark Gable,1960,1960
David Letterman,2015,
Debbie Reynolds,2006,2016
Denzel Washington,2016,
Dick Van Dyke,2015,
Donald Sutherland,2016,
Dustin Hoffman,2016,
Ed Sullivan,1973,1974
Eddie Murphy,2016,
Elton John,2016,
Elvis Presley,1977,1977
Frank Sinatra,1980,1998
Gene Hackman,2004,
George Michael,2004,2016
Gregory Peck,1991,2003
Greta Garbo,1941,1990
Humphrey Bogart,1956,1957
James Dean,1955,1955
Jay Leno,2014,
Jennifer Aniston,2016,
Jerry Seinfeld,2016,
Jimmy Page,2016,
Jimmy Stewart,1980,1997
Joan Crawford,1970,1977
John Lennon,1980,1980
John Wayne,1976,1979
Johnny Carson,1992,2005
Johnny Depp,2016,
Justin Timberlake,2016,
Katherine Hepburn,1994,2003
Keifer Sutherland,2016,
Kirk Douglas,2004,
Lady Gaga,2016,
Leonard Bernstein,1989,1990
Leonardo DiCaprio,2016,
Louis Armstrong,1970,1971
Madonna,2015,
Mariah Carey,2014,
Marlon Brando,2001,2004
Mary Tyler Moore,2013,
Meryl Streep,2016,
Mick Jagger,2016,
Morgan Freeman,2016,
Oprah Winfrey,2016,
Paul McCartney,2016,
Paul Newman,2005,2008
Peter O'Toole,2013,2013
Prince,2016,2016
Robert Redford,2016,
Sidney Poitier,2008,
Sly Stone,1971,
Stevie Wonder,2005,
Tom Hanks,2016,
Tony Bennett,2016,
Wayne Newton,2016,
Will Smith,2016,
Willie Nelson,2016,
